"40","simulation_quality_worst","ro",0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,"sim-worst","sim-best"
"41","task_failed","cos",0.44,0.44,0.44,0.44,0.45,0.49,0.51,0.56,0.55,0.5,0.54,0.54,0.44,0.51,0.53,0.47,0.54,0.54,0.53,0.55,0.54,0.49,0.54,0.51,"miss","success"
"42","task_failed","j",0.43,0.43,0.49,0.5,0.53,0.54,0.55,0.54,0.54,0.53,0.54,0.54,0.53,0.54,0.53,0.54,0.54,0.55,0.54,0.54,0.54,0.52,0.54,0.53,"miss","success"
"43","task_failed","mkl",0.43,0.45,0.5,0.52,0.53,0.54,0.52,0.54,0.54,0.53,0.54,0.54,0.52,0.54,0.53,0.54,0.54,0.55,0.55,0.54,0.54,0.54,0.54,0.51,"miss","success"
"44","task_failed","ro",0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,"miss","success"
"45","task_successful","cos",0.47,0.48,0.45,0.5,0.46,0.36,0.36,0.24,0.12,0.28,0.08,0,0.43,0.14,0,0.34,0.15,0.05,0.23,0.05,0.02,0.16,0,0.03,"success","miss"
"46","task_successful","j",0.41,0.41,0.39,0.32,0.03,0,0.22,0.02,0.02,0.06,0,0,0.09,0,0,0.17,0,0.03,0.18,0,0,0.23,0,0.02,"success","miss"
"47","task_successful","mkl",0.4,0.4,0.39,0.25,0,0,0.15,0.02,0.02,0.02,0,0,0.14,0,0,0.17,0.02,0.03,0.21,0,0.02,0.16,0,0.03,"success","miss"
"48","task_successful","ro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"success","miss"
"49","word_accuracy_100","cos",0.2,0.2,0.2,0.24,0.21,0.22,0.26,0.26,0.26,0.31,0.28,0.26,0.31,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.26,0.26,0.26,0.26,"wa-100","wa-60"
"50","word_accuracy_100","j",0.18,0.17,0.17,0.23,0.24,0.24,0.24,0.26,0.26,0.29,0.26,0.26,0.22,0.26,0.26,0.22,0.26,0.26,0.16,0.26,0.26,0.07,0.24,0.26,"wa-100","wa-60"
"51","word_accuracy_100","mkl",0.18,0.19,0.18,0.26,0.22,0.23,0.25,0.26,0.26,0.32,0.26,0.26,0.3,0.26,0.26,0.28,0.26,0.26,0.23,0.26,0.26,0.2,0.26,0.26,"wa-100","wa-60"
"52","word_accuracy_100","ro",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,"wa-100","wa-60"
"53","word_accuracy_60","cos",0.57,0.57,0.57,0.56,0.53,0.28,0.26,0.08,0,0.44,0.23,0,0.5,0,0,0.02,0,0,0,0,0,0,0,0,"wa-60","wa-100"
"54","word_accuracy_60","j",0.5,0.42,0.29,0.53,0.08,0,0.45,0.02,0,0.59,0,0,0.5,0,0,0.5,0,0,0.58,0,0,0.67,0,0,"wa-60","wa-100"
"55","word_accuracy_60","mkl",0.48,0.41,0.25,0.5,0.08,0,0.38,0.02,0,0.53,0,0,0.39,0,0,0.32,0,0,0.3,0,0,0.26,0,0,"wa-60","wa-100"
"56","word_accuracy_60","ro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"wa-60","wa-100"
