Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
task_success,mean kullback leibler,5,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,5,2,1.0,0.0,73.0,122.0,0.00813008130081,1.0,0.0161290322581
task_success,mean kullback leibler,5,3,7.0,0.0,73.0,116.0,0.0569105691057,1.0,0.107692307692
task_success,mean kullback leibler,5,4,5.0,2.0,71.0,118.0,0.0406504065041,0.714285714286,0.0769230769231
task_success,mean kullback leibler,5,5,8.0,9.0,64.0,115.0,0.0650406504065,0.470588235294,0.114285714286
task_success,mean kullback leibler,5,6,10.0,12.0,61.0,113.0,0.0813008130081,0.454545454545,0.137931034483
task_success,mean kullback leibler,5,7,16.0,11.0,62.0,107.0,0.130081300813,0.592592592593,0.213333333333
task_success,symmetric kullback leibler,5,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,5,2,1.0,0.0,73.0,122.0,0.00813008130081,1.0,0.0161290322581
task_success,symmetric kullback leibler,5,3,7.0,0.0,73.0,116.0,0.0569105691057,1.0,0.107692307692
task_success,symmetric kullback leibler,5,4,5.0,2.0,71.0,118.0,0.0406504065041,0.714285714286,0.0769230769231
task_success,symmetric kullback leibler,5,5,8.0,9.0,64.0,115.0,0.0650406504065,0.470588235294,0.114285714286
task_success,symmetric kullback leibler,5,6,10.0,12.0,61.0,113.0,0.0813008130081,0.454545454545,0.137931034483
task_success,symmetric kullback leibler,5,7,16.0,11.0,62.0,107.0,0.130081300813,0.592592592593,0.213333333333
task_success,cosine,6,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,6,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,6,3,0.0,2.0,71.0,123.0,0,0,0.0
task_success,cosine,6,4,2.0,2.0,71.0,121.0,0.0162601626016,0.5,0.0314960629921
task_success,cosine,6,5,3.0,7.0,66.0,120.0,0.0243902439024,0.3,0.0451127819549
task_success,cosine,6,6,5.0,5.0,68.0,118.0,0.0406504065041,0.5,0.0751879699248
task_success,cosine,6,7,7.0,6.0,67.0,116.0,0.0569105691057,0.538461538462,0.102941176471
task_success,jensen,6,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,6,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,6,3,1.0,1.0,72.0,122.0,0.00813008130081,0.5,0.016
task_success,jensen,6,4,4.0,4.0,69.0,119.0,0.0325203252033,0.5,0.0610687022901
task_success,jensen,6,5,11.0,14.0,59.0,112.0,0.0894308943089,0.44,0.148648648649
task_success,jensen,6,6,19.0,17.0,56.0,104.0,0.154471544715,0.527777777778,0.238993710692
task_success,jensen,6,7,17.0,16.0,57.0,106.0,0.138211382114,0.515151515152,0.217948717949
task_success,kullback leibler,6,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,kullback leibler,6,2,1.0,0.0,73.0,122.0,0.00813008130081,1.0,0.0161290322581
task_success,kullback leibler,6,3,8.0,3.0,70.0,115.0,0.0650406504065,0.727272727273,0.119402985075
task_success,kullback leibler,6,4,11.0,6.0,67.0,112.0,0.0894308943089,0.647058823529,0.157142857143
task_success,kullback leibler,6,5,12.0,15.0,58.0,111.0,0.0975609756098,0.444444444444,0.16
task_success,kullback leibler,6,6,20.0,19.0,54.0,103.0,0.162601626016,0.512820512821,0.246913580247
task_success,kullback leibler,6,7,22.0,22.0,51.0,101.0,0.178861788618,0.5,0.263473053892
task_success,mean kullback leibler,6,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,6,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,6,3,1.0,1.0,72.0,122.0,0.00813008130081,0.5,0.016
task_success,mean kullback leibler,6,4,4.0,4.0,69.0,119.0,0.0325203252033,0.5,0.0610687022901
task_success,mean kullback leibler,6,5,12.0,12.0,61.0,111.0,0.0975609756098,0.5,0.163265306122
task_success,mean kullback leibler,6,6,18.0,17.0,56.0,105.0,0.146341463415,0.514285714286,0.227848101266
task_success,mean kullback leibler,6,7,16.0,15.0,58.0,107.0,0.130081300813,0.516129032258,0.207792207792
task_success,symmetric kullback leibler,6,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,6,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,6,3,1.0,1.0,72.0,122.0,0.00813008130081,0.5,0.016
task_success,symmetric kullback leibler,6,4,4.0,4.0,69.0,119.0,0.0325203252033,0.5,0.0610687022901
task_success,symmetric kullback leibler,6,5,12.0,12.0,61.0,111.0,0.0975609756098,0.5,0.163265306122
task_success,symmetric kullback leibler,6,6,18.0,17.0,56.0,105.0,0.146341463415,0.514285714286,0.227848101266
task_success,symmetric kullback leibler,6,7,16.0,15.0,58.0,107.0,0.130081300813,0.516129032258,0.207792207792
task_success,cosine,7,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,7,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,7,3,0.0,2.0,71.0,123.0,0,0,0.0
task_success,cosine,7,4,2.0,2.0,71.0,121.0,0.0162601626016,0.5,0.0314960629921
task_success,cosine,7,5,4.0,5.0,68.0,119.0,0.0325203252033,0.444444444444,0.0606060606061
task_success,cosine,7,6,5.0,4.0,69.0,118.0,0.0406504065041,0.555555555556,0.0757575757576
task_success,cosine,7,7,5.0,4.0,69.0,118.0,0.0406504065041,0.555555555556,0.0757575757576
task_success,jensen,7,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,7,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,7,3,2.0,9.0,64.0,121.0,0.0162601626016,0.181818181818,0.0298507462687
task_success,jensen,7,4,13.0,7.0,66.0,110.0,0.105691056911,0.65,0.181818181818
task_success,jensen,7,5,13.0,18.0,55.0,110.0,0.105691056911,0.41935483871,0.168831168831
task_success,jensen,7,6,22.0,19.0,54.0,101.0,0.178861788618,0.536585365854,0.268292682927
task_success,jensen,7,7,18.0,17.0,56.0,105.0,0.146341463415,0.514285714286,0.227848101266
task_success,kullback leibler,7,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,kullback leibler,7,2,1.0,1.0,72.0,122.0,0.00813008130081,0.5,0.016
task_success,kullback leibler,7,3,7.0,15.0,58.0,116.0,0.0569105691057,0.318181818182,0.0965517241379
task_success,kullback leibler,7,4,20.0,14.0,59.0,103.0,0.162601626016,0.588235294118,0.254777070064
task_success,kullback leibler,7,5,20.0,20.0,53.0,103.0,0.162601626016,0.5,0.245398773006
task_success,kullback leibler,7,6,28.0,22.0,51.0,95.0,0.227642276423,0.56,0.323699421965
task_success,kullback leibler,7,7,32.0,27.0,46.0,91.0,0.260162601626,0.542372881356,0.351648351648
task_success,mean kullback leibler,7,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,7,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,7,3,2.0,8.0,65.0,121.0,0.0162601626016,0.2,0.0300751879699
task_success,mean kullback leibler,7,4,12.0,8.0,65.0,111.0,0.0975609756098,0.6,0.167832167832
task_success,mean kullback leibler,7,5,12.0,18.0,55.0,111.0,0.0975609756098,0.4,0.156862745098
task_success,mean kullback leibler,7,6,19.0,18.0,55.0,104.0,0.154471544715,0.513513513514,0.2375
task_success,mean kullback leibler,7,7,17.0,15.0,58.0,106.0,0.138211382114,0.53125,0.21935483871
task_success,symmetric kullback leibler,7,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,7,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,7,3,2.0,8.0,65.0,121.0,0.0162601626016,0.2,0.0300751879699
task_success,symmetric kullback leibler,7,4,12.0,8.0,65.0,111.0,0.0975609756098,0.6,0.167832167832
task_success,symmetric kullback leibler,7,5,12.0,18.0,55.0,111.0,0.0975609756098,0.4,0.156862745098
task_success,symmetric kullback leibler,7,6,19.0,18.0,55.0,104.0,0.154471544715,0.513513513514,0.2375
task_success,symmetric kullback leibler,7,7,17.0,15.0,58.0,106.0,0.138211382114,0.53125,0.21935483871
task_success,cosine,8,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,8,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,cosine,8,3,0.0,1.0,72.0,123.0,0,0,0.0
task_success,cosine,8,4,1.0,2.0,71.0,122.0,0.00813008130081,0.333333333333,0.015873015873
task_success,cosine,8,5,3.0,5.0,68.0,120.0,0.0243902439024,0.375,0.0458015267176
task_success,cosine,8,6,4.0,2.0,71.0,119.0,0.0325203252033,0.666666666667,0.062015503876
task_success,cosine,8,7,5.0,2.0,71.0,118.0,0.0406504065041,0.714285714286,0.0769230769231
task_success,jensen,8,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,8,2,2.0,0.0,73.0,121.0,0.0162601626016,1.0,0.032
task_success,jensen,8,3,3.0,13.0,60.0,120.0,0.0243902439024,0.1875,0.0431654676259
task_success,jensen,8,4,13.0,10.0,63.0,110.0,0.105691056911,0.565217391304,0.178082191781
