Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
word_accuracy_100;symmetric kullback leibler;4;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;4;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;5;0.05;2;17.0;98.0;1.0;0.0;1.0;0.147826086957;0.257575757576
word_accuracy_100;jensen;5;0.05;2;11.0;20.0;79.0;6.0;0.647058823529;0.354838709677;0.458333333333
word_accuracy_100;kullback leibler;5;0.05;2;8.0;23.0;76.0;9.0;0.470588235294;0.258064516129;0.333333333333
word_accuracy_100;mean kullback leibler;5;0.05;2;10.0;17.0;82.0;7.0;0.588235294118;0.37037037037;0.454545454545
word_accuracy_100;symmetric kullback leibler;5;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;5;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;6;0.05;2;16.0;92.0;7.0;1.0;0.941176470588;0.148148148148;0.256
word_accuracy_100;jensen;6;0.05;2;3.0;17.0;82.0;14.0;0.176470588235;0.15;0.162162162162
word_accuracy_100;kullback leibler;6;0.05;2;4.0;15.0;84.0;13.0;0.235294117647;0.210526315789;0.222222222222
word_accuracy_100;mean kullback leibler;6;0.05;2;1.0;13.0;86.0;16.0;0.0588235294118;0.0714285714286;0.0645161290323
word_accuracy_100;symmetric kullback leibler;6;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;6;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;7;0.05;2;17.0;93.0;6.0;0.0;1.0;0.154545454545;0.267716535433
word_accuracy_100;jensen;7;0.05;2;6.0;10.0;89.0;11.0;0.352941176471;0.375;0.363636363636
word_accuracy_100;kullback leibler;7;0.05;2;7.0;17.0;82.0;10.0;0.411764705882;0.291666666667;0.341463414634
word_accuracy_100;mean kullback leibler;7;0.05;2;6.0;8.0;91.0;11.0;0.352941176471;0.428571428571;0.387096774194
word_accuracy_100;symmetric kullback leibler;7;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;7;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;8;0.05;2;17.0;97.0;2.0;0.0;1.0;0.149122807018;0.259541984733
word_accuracy_100;jensen;8;0.05;2;7.0;15.0;84.0;10.0;0.411764705882;0.318181818182;0.358974358974
word_accuracy_100;kullback leibler;8;0.05;2;5.0;13.0;86.0;12.0;0.294117647059;0.277777777778;0.285714285714
word_accuracy_100;mean kullback leibler;8;0.05;2;6.0;14.0;85.0;11.0;0.352941176471;0.3;0.324324324324
word_accuracy_100;symmetric kullback leibler;8;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;8;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_60;cosine;1;0.05;2;26.0;8.0;9.0;73.0;0.262626262626;0.764705882353;0.390977443609
word_accuracy_60;jensen;1;0.05;2;20.0;6.0;11.0;79.0;0.20202020202;0.769230769231;0.32
word_accuracy_60;kullback leibler;1;0.05;2;24.0;5.0;12.0;75.0;0.242424242424;0.827586206897;0.375
word_accuracy_60;mean kullback leibler;1;0.05;2;22.0;6.0;11.0;77.0;0.222222222222;0.785714285714;0.346456692913
word_accuracy_60;symmetric kullback leibler;1;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;1;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;2;0.05;2;62.0;10.0;7.0;37.0;0.626262626263;0.861111111111;0.72514619883
word_accuracy_60;jensen;2;0.05;2;72.0;10.0;7.0;27.0;0.727272727273;0.878048780488;0.795580110497
word_accuracy_60;kullback leibler;2;0.05;2;66.0;7.0;10.0;33.0;0.666666666667;0.904109589041;0.767441860465
word_accuracy_60;mean kullback leibler;2;0.05;2;77.0;9.0;8.0;22.0;0.777777777778;0.895348837209;0.832432432432
word_accuracy_60;symmetric kullback leibler;2;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;2;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;3;0.05;2;19.0;4.0;13.0;80.0;0.191919191919;0.826086956522;0.311475409836
word_accuracy_60;jensen;3;0.05;2;70.0;7.0;10.0;29.0;0.707070707071;0.909090909091;0.795454545455
word_accuracy_60;kullback leibler;3;0.05;2;61.0;4.0;13.0;38.0;0.616161616162;0.938461538462;0.743902439024
word_accuracy_60;mean kullback leibler;3;0.05;2;66.0;5.0;12.0;33.0;0.666666666667;0.929577464789;0.776470588235
word_accuracy_60;symmetric kullback leibler;3;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;3;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;4;0.05;2;5.0;0.0;17.0;94.0;0.0505050505051;1.0;0.0961538461538
word_accuracy_60;jensen;4;0.05;2;53.0;9.0;8.0;46.0;0.535353535354;0.854838709677;0.658385093168
word_accuracy_60;kullback leibler;4;0.05;2;46.0;6.0;11.0;53.0;0.464646464646;0.884615384615;0.609271523179
word_accuracy_60;mean kullback leibler;4;0.05;2;52.0;8.0;9.0;47.0;0.525252525253;0.866666666667;0.654088050314
word_accuracy_60;symmetric kullback leibler;4;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;4;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;5;0.05;2;1.0;0.0;17.0;98.0;0.010101010101;1.0;0.02
