Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
simulation_quality,cosine,4,3,1457.0,1270.0,310.0,123.0,0.922151898734,0.53428676201,0.676573020664
simulation_quality,cosine,4,4,1384.0,1051.0,529.0,196.0,0.875949367089,0.568377823409,0.689414694894
simulation_quality,cosine,4,5,1368.0,1030.0,550.0,212.0,0.86582278481,0.570475396163,0.68778280543
simulation_quality,cosine,4,6,1275.0,954.0,626.0,305.0,0.806962025316,0.57200538358,0.66946705172
simulation_quality,cosine,4,7,1274.0,957.0,623.0,306.0,0.806329113924,0.57104437472,0.668590921018
simulation_quality,jensen,4,1,1546.0,1403.0,177.0,34.0,0.978481012658,0.524245506952,0.682711415323
simulation_quality,jensen,4,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,4,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,4,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,4,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,4,6,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,4,7,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,4,1,26.0,0.0,1580.0,1554.0,0.0164556962025,1.0,0.0323785803238
simulation_quality,kullback leibler,4,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,4,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,4,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,4,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,4,6,1578.0,1579.0,1.0,2.0,0.998734177215,0.499841621793,0.666244458518
simulation_quality,kullback leibler,4,7,1577.0,1580.0,0.0,3.0,0.998101265823,0.499524865379,0.665822250369
simulation_quality,mean kullback leibler,4,1,1567.0,1490.0,90.0,13.0,0.991772151899,0.512594046451,0.675868018115
simulation_quality,mean kullback leibler,4,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,4,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,4,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,4,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,4,6,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,mean kullback leibler,4,7,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,4,1,1567.0,1490.0,90.0,13.0,0.991772151899,0.512594046451,0.675868018115
simulation_quality,symmetric kullback leibler,4,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,4,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,4,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,4,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,4,6,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,symmetric kullback leibler,4,7,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,cosine,5,1,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,cosine,5,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,cosine,5,3,1569.0,1540.0,40.0,11.0,0.993037974684,0.504663879061,0.669225847729
simulation_quality,cosine,5,4,1361.0,1106.0,474.0,219.0,0.861392405063,0.551682205107,0.672596985421
simulation_quality,cosine,5,5,1275.0,1040.0,540.0,305.0,0.806962025316,0.550755939525,0.654685494223
simulation_quality,cosine,5,6,1140.0,965.0,615.0,440.0,0.721518987342,0.541567695962,0.618724559023
simulation_quality,cosine,5,7,1160.0,973.0,607.0,420.0,0.73417721519,0.543834974215,0.624831672502
simulation_quality,jensen,5,1,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,5,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,5,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,5,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,5,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,5,6,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,5,7,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,5,1,88.0,0.0,1580.0,1492.0,0.0556962025316,1.0,0.10551558753
simulation_quality,kullback leibler,5,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,5,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,5,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,5,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,5,6,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,kullback leibler,5,7,1579.0,1580.0,0.0,1.0,0.999367088608,0.499841722064,0.666385313357
simulation_quality,mean kullback leibler,5,1,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
