iteration,tar_WA,confirm strategy,taskID,numTurns,numUserTurns,WPST,WPUT,numAVPs,sumCorrectAVPs,sumDeletions,sumSubstitutions,sumInsertions,CER,sumPACO,sumPAPA,sumPAFA,sumPAIC,UA,QD,CE,numSolutions,numBargeIns,numCancelAttempts,numHelpRequests,# turns / concept,# turns till solution,# affirms,# negations,# accepts,# neglects,task success
520,70,1,52,19,9,12.1,,0.9,6,3,0,2,0.5555555556,5,0,3,2,0.5555555556,0.3,0.5,0,0,0,0,2.25,10,0,0,2,0,FU
521,70,0,53,5,2,31,,0.6666666667,2,0,0,2,1,1,0,0,1,0.5,0.6666666667,1,3,0,0,0,1,2,0,0,0,0,FS
522,70,0,53,15,7,12.75,,0.875,3,4,0,3,1,3,0,3,2,0.4285714286,0.375,0.4285714286,0,0,0,0,1.75,8,0,0,0,0,FU
523,70,0,53,3,1,38.5,,0.5,1,0,0,0,0,1,0,0,0,1,0.5,1,3,0,0,0,1,1,0,0,0,0,FS
524,70,0,53,19,9,12.3,,0.9,4,5,0,2,0.7777777778,4,0,4,2,0.4444444444,0.4,0.4444444444,0,0,0,0,1.8,10,0,0,0,0,FU
525,70,0,53,15,7,18.375,,0.875,4,3,0,5,1.1428571429,2,0,2,3,0.2857142857,0.5,0.5714285714,3,0,0,0,2.3333333333,7,0,0,0,0,FS
526,70,0,53,5,2,31,,0.6666666667,2,0,0,1,0.5,1,0,0,1,0.5,0.6666666667,1,3,0,0,0,1,2,0,0,0,0,FS
527,70,0,53,9,4,28.4,,0.8,3,1,0,1,0.5,2,0,1,1,0.5,0.6,0.75,3,0,0,0,2,4,0,0,0,0,FS
528,70,0,53,5,2,32.6666666667,,0.6666666667,2,0,0,0,0,2,0,0,0,1,0.6666666667,1,3,0,0,0,1,2,0,0,0,0,FS
529,70,0,53,27,13,15.5714285714,,0.9285714286,9,4,0,5,0.6923076923,7,0,3,4,0.5384615385,0.4285714286,0.6,0,0,0,0,1.8571428571,14,0,0,2,0,FU
530,70,0,53,3,1,38.5,,0.5,1,0,0,1,1,0,0,0,1,0,0.5,1,3,0,0,0,1,1,0,0,0,0,FS
531,70,1,54,9,4,18.4,,1.4,6,1,0,0,0.1428571429,3,0,1,0,0.75,1,1,1,0,0,0,1,4,0,0,2,0,FS
532,70,1,54,21,10,13.2727272727,,0.9090909091,9,0,1,1,0.2,8,0,0,2,0.8,0.3636363636,0.8,2,0,0,0,2,10,0,0,4,0,FS
533,70,1,54,17,8,20,,0.8888888889,6,2,0,1,0.375,5,0,2,1,0.625,0.3333333333,0.6,0,0,0,0,1.6,8,0,1,2,0,SN
534,70,1,54,17,8,17.3333333333,,1.3333333333,9,2,1,4,0.5833333333,3,0,0,5,0.375,0.4444444444,0.6666666667,0,0,0,0,1.3333333333,8,0,1,3,0,SN
535,70,1,54,19,9,12.7,,0.9,8,1,0,1,0.2222222222,7,0,1,1,0.7777777778,0.5,1,1,0,0,0,2.25,9,0,0,4,0,FS
536,70,1,54,15,7,17.75,,1.25,8,1,1,5,0.7,3,0,1,3,0.4285714286,0.5,0.8,0,0,0,0,1.4,7,0,1,2,0,SN
537,70,1,54,17,8,16.2222222222,,1.3333333333,11,1,0,4,0.4166666667,4,0,0,4,0.5,0.5555555556,0.8333333333,0,0,0,0,1.3333333333,8,0,1,3,0,SN
538,70,1,54,35,17,12.5555555556,,1.1666666667,15,5,1,4,0.4761904762,9,1,2,5,0.5294117647,0.3333333333,0.5,0,0,0,0,2.8333333333,17,0,1,5,0,SN
539,70,1,54,13,6,16.7142857143,,1.2857142857,6,3,0,1,0.4444444444,3,1,1,1,0.5,0.5714285714,0.6666666667,2,0,0,0,1.5,6,0,0,2,0,FS
540,70,1,54,33,16,14.2941176471,,0.9411764706,14,2,0,3,0.3125,12,0,1,3,0.75,0.4117647059,0.875,0,0,0,0,2.6666666667,16,0,1,6,0,SN
541,100,0,55,33,16,16.3529411765,,0.9411764706,14,2,0,1,0.1875,13,0,2,1,0.8125,0.5294117647,0.8181818182,6,0,0,0,1.7777777778,14,0,2,3,0,SCu
542,100,0,55,25,12,17.7692307692,,1.1538461538,14,1,0,2,0.2,9,0,1,2,0.75,0.6153846154,0.8888888889,6,0,0,0,1.5,10,0,2,3,0,SCu
543,100,0,55,35,17,16.1111111111,,0.9444444444,9,8,0,2,0.5882352941,9,0,6,2,0.5294117647,0.3888888889,0.4666666667,1,0,0,0,2.125,17,0,0,1,0,FS
544,100,0,55,25,12,16.7692307692,,1.1538461538,14,1,0,2,0.2,10,0,0,2,0.8333333333,0.6923076923,0.9,3,0,0,0,1.5,11,0,2,2,0,SCu
545,100,0,55,21,10,16.6363636364,,0.9090909091,10,0,0,1,0.1,9,0,0,1,0.9,0.7272727273,1,1,0,0,0,1.25,10,0,0,1,0,FS
546,100,0,55,5,2,29,,0.6666666667,2,0,0,0,0,2,0,0,0,1,0.6666666667,1,2,0,0,0,1,2,0,0,0,0,FS
547,100,0,55,3,1,35,,2,3,0,1,0,0.25,0,0,0,1,0,1.5,0.75,1,0,0,0,0.25,1,0,0,0,0,FS
548,100,0,55,5,2,29,,0.6666666667,2,0,0,0,0,2,0,0,0,1,0.6666666667,1,2,0,0,0,1,2,0,0,0,0,FS
549,100,0,55,11,5,22,,1.3333333333,7,1,0,1,0.25,3,0,1,1,0.6,1,1,1,0,0,0,0.8333333333,5,0,0,1,0,FS
550,100,0,55,11,5,21.1666666667,,1.3333333333,7,1,0,1,0.25,4,0,0,1,0.8,0.8333333333,0.8333333333,1,0,0,0,0.8333333333,5,0,0,1,0,FS
551,90,1,56,9,4,23.6,,0.8,4,0,0,1,0.25,3,0,0,1,0.75,0.6,1,3,0,0,0,1.3333333333,4,0,0,1,0,FS
552,90,1,56,9,4,23,,0.8,4,0,0,1,0.25,3,0,0,1,0.75,0.6,1,2,0,0,0,1.3333333333,4,0,0,1,0,SCs
553,90,1,56,17,8,17.7777777778,,0.8888888889,7,1,0,1,0.25,6,0,1,1,0.75,0.4444444444,0.8,2,0,0,0,2,8,0,0,3,0,SCs
554,90,1,56,15,7,14.5,,1,6,2,0,2,0.5,4,0,1,2,0.5714285714,0.375,0.6,2,0,0,0,1.75,7,0,0,3,0,FS
555,90,1,56,9,4,17.8,,1.2,4,2,0,1,0.5,2,0,1,1,0.5,0.6,0.75,0,0,0,0,1.3333333333,4,0,1,1,0,SN
556,90,1,56,23,11,13.4166666667,,0.9166666667,9,2,0,0,0.1818181818,9,0,2,0,0.8181818182,0.4166666667,0.7142857143,3,0,0,0,2.2,11,0,0,4,0,FS
557,90,1,56,17,8,15.5555555556,,0.8888888889,6,1,1,0,0.25,6,0,1,1,0.75,0.3333333333,0.6,2,0,0,0,2,8,0,0,3,0,FS
558,90,1,56,19,9,17.8,,0.9,8,1,0,1,0.2222222222,7,0,1,1,0.7777777778,0.5,0.8333333333,3,0,0,0,1.5,9,0,0,3,0,FS
559,90,1,56,7,3,19.75,,1.25,5,0,0,0,0,3,0,0,0,1,0.75,1,0,0,0,0,1,3,0,1,1,0,SN
560,90,1,56,15,7,17,,0.875,6,1,0,2,0.4285714286,5,0,1,1,0.7142857143,0.5,1,3,0,0,0,1.75,7,0,0,2,0,FS
561,100,0,57,31,15,17.8125,,0.9375,15,0,0,2,0.1333333333,13,0,0,2,0.8666666667,0.625,1,2,0,0,0,2.1428571429,15,0,0,3,0,SCu
562,100,0,57,35,17,17,,0.9444444444,15,2,0,5,0.4117647059,11,0,2,4,0.6470588235,0.5555555556,0.8333333333,2,0,0,0,2.4285714286,17,0,0,3,0,SCu
563,100,0,57,19,9,16.9,,0.9,8,1,0,2,0.3333333333,6,0,1,2,0.6666666667,0.6,0.8571428571,2,0,0,0,1.5,9,0,0,1,0,FS
564,100,0,57,33,16,17.5294117647,,0.9411764706,15,1,0,4,0.3125,12,0,1,3,0.75,0.5882352941,0.9090909091,2,0,0,0,2.2857142857,16,0,0,3,0,SCu
565,100,0,57,15,7,13.625,,0.875,4,3,0,1,0.5714285714,4,0,3,1,0.5714285714,0.5,0.5714285714,0,0,0,0,1.4,8,0,0,0,0,FU
566,100,0,57,35,17,17.1111111111,,0.9444444444,15,2,0,2,0.2352941176,13,0,2,2,0.7647058824,0.5555555556,0.8333333333,2,0,0,0,2.4285714286,17,0,0,3,0,SCu
567,100,0,57,33,16,17.7058823529,,0.9411764706,16,0,0,1,0.0625,15,0,0,1,0.9375,0.6470588235,1,2,0,0,0,2.2857142857,16,0,0,3,0,SCu
568,100,0,57,37,18,16.9473684211,,0.9473684211,17,1,0,2,0.1666666667,16,0,0,2,0.8888888889,0.5789473684,0.9166666667,2,0,0,0,2.5714285714,18,0,0,3,0,SCu
569,100,0,57,35,17,17.3333333333,,0.9444444444,16,1,0,3,0.2352941176,14,0,0,3,0.8235294118,0.6111111111,0.9166666667,2,0,0,0,2.4285714286,17,0,0,3,0,SCu
570,100,0,57,33,16,18,,0.9411764706,16,0,0,3,0.1875,13,0,0,3,0.8125,0.6470588235,1,2,0,0,0,2.2857142857,16,0,0,3,0,SCu
571,90,1,58,21,10,12,,1.1818181818,9,4,0,0,0.3076923077,7,1,2,0,0.7,0.5454545455,0.75,1,0,0,0,2,10,0,0,5,0,SCs
572,90,1,58,7,3,20,,1.75,7,0,0,3,0.4285714286,2,0,0,1,0.6666666667,1.25,1,1,0,0,0,0.6,3,0,0,1,0,S
573,90,1,58,5,2,25.6666666667,,1.6666666667,4,1,0,1,0.4,1,0,0,1,0.5,1,0.75,1,0,0,0,0.5,2,0,0,1,0,SCs
574,90,1,58,19,9,13.7,,0.9,9,0,0,1,0.1111111111,8,0,0,1,0.8888888889,0.5,1,2,0,0,0,1.8,9,0,0,4,0,FS
575,90,1,58,5,2,25,,2,5,1,0,0,0.1666666667,1,1,0,0,0.5,1.3333333333,0.8,1,0,0,0,0.4,2,0,0,1,0,SCs
